S.no,Description,Question,Answer
3779,"Fans during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI",___________,Fans
3780,"Fans during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI",___________,Fans
3781,"Cheerleaders during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI",___________,Cheerleaders
3782,"Fans during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI",___________,Fans
3783,"Preity Zinta Co-owner KXIP with Huma Qureshi during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ with Huma Qureshi,Preity Zinta Co-owner KXIP
3784,"Huma Qureshi during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI",___________,Huma Qureshi
3785,"Preity Zinta Co-owner KXIP with Huma Qureshi during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ with Huma Qureshi,Preity Zinta Co-owner KXIP
3786,"Preity Zinta Co-owner KXIP with Huma Qureshi during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ with Huma Qureshi,Preity Zinta Co-owner KXIP
3787,"Huma Qureshi during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI",___________,Huma Qureshi
3788,"Preity Zinta Co-owner KXIP with Huma Qureshi during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ with Huma Qureshi,Preity Zinta Co-owner KXIP
3789,"Preity Zinta Co-owner KXIP with Huma Qureshi during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ with Huma Qureshi,Preity Zinta Co-owner KXIP
3790,"KL Rahul of KXIP and Chris Gayle of KXIP entering on field during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ of KXIP and Chris Gayle of KXIP entering on field,KL Rahul
3791,"KL Rahul of KXIP and Chris Gayle of KXIP entering on field during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ of KXIP and Chris Gayle of KXIP entering on field,KL Rahul
3792,"Umpires entering on field during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ entering on field,Umpires
3793,"Virat Kohli of RCBwith players entering on field during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ of RCB with players entering on field,Virat Kohli
3794,"Ravichandran Ashwin of KXIP andVirat Kohli of RCB during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ of KXIP and Virat Kohli of RCB,Ravichandran Ashwin
3795,"Navdeep Saini of RCBand Umesh Yadav of RCB during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ of RCB and Umesh Yadav of RCB,Navdeep Saini
3796,"Virat Kohli of RCB during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ of RCB,Virat Kohli
3797,"Virat Kohli of RCB during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ of RCB,Virat Kohli
3798,"Ashish Nehra and Mohammad Shami of KXIP during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ and Mohammad Shami of KXIP,Ashish Nehra
3799,"Virat Kohli of RCB during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ of RCB,Virat Kohli
3800,"Virat Kohli of RCB during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",___________ of RCB,Virat Kohli
3801,"Players after the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI",,Players
3802,"Players after the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI",,Players
3803,"Players after the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI",,Players
3804,"Players after the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI",,Players
3805,"Players after the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI",,Players
3806,"Players after the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI",,Players
3807,"Virat Kohli of RCBwith team official after the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI",Identify the player hugging the official,Virat Kohli
3808,"Players shake hands after the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI","___________ shake hands after the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI",Players
3809,"Players shake hands after the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI","___________ shake hands after the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI",Players
3810,"RCB players celebrate win after the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI",Identify the team,RCB
3811,"RCB players celebrate win after the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Arjun Singh /SPORTZPICS for BCCI",Identify the team,RCB
3812,"Players after the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",,Players
3813,"Players after the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",,Players
3814,"Players after the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",,Players
3815,"Players after the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",,Players
3816,"Players after the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",,Players
3817,"Players after the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",,Players
3818,"Virat Kohli of RCBwith team official after the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI","___________ of RCBwith team official after the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",Virat Kohli
3819,"Players shake hands after the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI","___________ shake hands after the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",Players
3820,"Players shake hands after the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI","___________ shake hands after the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",Players
3821,"RCB players celebrate win after the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",Identify the team,RCB
3822,"RCB players celebrate win after the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",Identify the team,RCB
3823,"RCB players celebrate win after the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",Identify the team,RCB
3824,"RCB players celebrate win after the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",Identify the team,RCB
3825,"RCB players celebrate win after the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",Identify the team,RCB
3826,"RCB players celebrate win after the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",Identify the team,RCB
3827,"RCB players celebrate win after the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",Identify the team,RCB
3828,"RCB players celebrate win after the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",Identify the team,RCB
3829,"RCB players celebrate win after the match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019

Photo by: Arjun Singh /SPORTZPICS for BCCI",Identify the team,RCB
3830,"AB de Villiers and Marcus Stoinis of RCB celebrates win during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ and Marcus Stoinis of RCB celebrate win,AB de Villiers
3831,"AB de Villiers and Marcus Stoinis of RCB celebrates win during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Deepak Malik /SPORTZPICS for BCCI",___________ and Marcus Stoinis of RCB celebrate win,AB de Villiers
3832,"Mohammed Shami of KXIP celebrates after dismissing Virat Kohli captain of RCB during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",Identify the bowler.,Mohammed Shami
3833,"Virat Kohli captain of RCB plays a shot during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ captain of RCB plays a shot,Virat Kohli
3834,"Andrew Tye of KXIP during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of KXIP,Andrew Tye
3835,"Virat Kohli captain of RCB and AB de Villiers of RCB during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ captain of RCB and AB de Villiers of RCB,Virat Kohli
3836,"AB de Villiers of RCB plays a shot during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of RCB plays a shot,AB de Villiers
3837,"Ravichandran Ashwin captain of KXIP during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI","___________, Indian spinner",Ravichandran Ashwin
3838,"AB de Villiers of RCB after winning a match during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of RCB after winning a match,AB de Villiers
3839,"Marcus Stoinis of RCB and AB de Villiers of RCB after winning a match during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of RCB and AB de Villiers of RCB after winning a match,Marcus Stoinis
3840,"Marcus Stoinis of RCB and AB de Villiers of RCB after winning a match during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of RCB and AB de Villiers of RCB after winning a match,Marcus Stoinis
3841,"Marcus Stoinis of RCB and AB de Villiers of RCB after winning a match during match 28 of the IPLSeason 12, 2019 between the KXIP and the RCB held at the IS Bindra Stadium, Mohali on the 13th April 2019Photo by: Rahul Gulati /SPORTZPICS for BCCI",___________ of RCB and AB de Villiers of RCB after winning a match,Marcus Stoinis
